file0me,position,IA_1,core_depth_mm,core_depth,(mm),sample,surface,validity,E-gain,E-offset,F-slope,F-offset,cps,MSE,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Rb,Sr,Y,Zr,Ba,La,Ce,Pr,Nd,Fe,a*2,Fe,a+b,FeX1,FeX2,FeX3,W,La,W,Lb1,W,Lb2,W,La,inel,W,Lb1,inel,W,Lb2,inel,Mo,inc,Mo,coh,Dt
C:\Data\coo_6\coo_6\XRF,data\L000040.spe,IA_1,80,8,143.08,5.1,1,0.017496,0.000423,0.009336,0.090851,188128,1.47,59,144,22,88,603,465,1644,2165,3002,148,421,378,93285,438,326,451,720,699,3276,215,973,0,0,90,112,27,371,434,225,444,2044,2041,1412,370,1015,639,752,47091,11267,0.415,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000041.spe,IA_1,82,8.2,145.08,5.09,1,0.017496,0.000423,0.009336,0.090851,192132,1.44,0,145,18,73,664,500,1418,2040,2887,152,249,432,95047,643,500,466,616,911,3240,200,956,140,0,184,121,11,338,191,417,479,1950,2140,1473,402,1076,667,729,47349,11815,0.418,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000042.spe,IA_1,84,8.4,147.08,5.1,1,0.017496,0.000423,0.009336,0.090851,196379,1.48,19,115,0,48,707,508,1393,2233,2877,222,338,404,98084,519,415,470,623,779,3438,185,1291,107,29,137,96,35,315,231,421,332,1885,2063,1504,381,1141,699,625,47873,11919,0.423,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000043.spe,IA_1,86,8.6,149.08,5.1,1,0.017496,0.000423,0.009336,0.090851,203422,1.62,0,104,40,75,770,514,1401,1978,2765,282,356,435,92594,536,572,512,815,771,3126,192,1453,50,12,160,50,30,474,193,333,371,1771,2259,1611,519,1305,673,1037,49521,11964,0.433,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000044.spe,IA_1,88,8.8,151.08,5.13,1,0.017496,0.000423,0.009336,0.090851,200323,1.61,34,106,29,44,588,553,1257,1819,2562,451,272,357,93219,612,595,423,616,877,3157,173,1322,23,0,170,85,0,492,259,368,396,1890,2119,1561,506,1299,694,750,48641,12037,0.429,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000045.spe,IA_1,90,9,153.08,5.09,1,0.017496,0.000423,0.009336,0.090851,198884,1.5,45,68,0,39,442,503,983,1636,2467,778,247,368,94365,635,542,337,621,841,3366,205,1225,0,0,163,52,12,415,307,487,444,1890,2286,1735,463,1207,743,798,48447,12140,0.425,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000046.spe,IA_1,92,9.2,155.08,5.07,1,0.017496,0.000423,0.009336,0.090851,194457,1.49,0,140,9,86,601,540,1422,2115,3145,276,401,393,94799,607,569,449,533,1047,3597,99,1157,0,28,164,102,57,406,7,443,398,1782,2175,1611,355,1183,553,928,46897,11681,0.421,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000047.spe,IA_1,94,9.4,157.08,5.07,1,0.017496,0.000423,0.009336,0.090851,191864,1.63,21,52,15,52,637,512,1115,1797,2868,440,136,408,90403,637,549,485,658,998,3249,142,1178,15,0,328,125,0,425,17,322,368,2048,2259,1674,546,1247,780,790,47234,11820,0.421,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000048.spe,IA_1,96,9.6,159.08,5.06,1,0.017496,0.000423,0.009336,0.090851,193342,1.47,0,49,0,74,642,501,979,1779,2462,390,224,438,94569,618,542,415,578,769,3225,111,986,113,33,198,76,0,234,212,288,615,2021,2311,1853,394,1140,697,827,46856,11717,0.419,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000049.spe,IA_1,98,9.8,161.08,5.04,1,0.017496,0.000423,0.009336,0.090851,194072,1.33,0,108,41,57,701,522,1177,1876,2782,110,360,296,94578,554,426,465,673,860,3124,196,1108,0,43,171,96,10,278,175,351,421,2061,2236,1598,469,1244,606,846,47604,12259,0.421,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000050.spe,IA_1,100,10,163.08,5.07,1,0.017496,0.000423,0.009336,0.090851,204127,1.4,31,98,0,67,864,501,1510,1990,3210,292,402,418,102370,547,509,498,835,946,3253,356,1103,0,25,150,45,61,325,95,474,469,1897,2153,1536,434,1041,683,666,49578,12227,0.428,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000051.spe,IA_1,102,10.2,165.08,5.08,1,0.017496,0.000423,0.009336,0.090851,201638,1.52,29,118,0,38,695,523,1495,2090,2777,177,371,480,97998,512,466,516,804,919,3318,141,1204,30,0,50,128,139,296,142,438,461,1936,2294,1745,295,1211,688,759,49039,11940,0.427,,,,,,,,,,,,,,
C:\Data\coo_6\coo_6\XRF,data\L000052.spe,IA_1,104,10.4,167.08,5.08,1,0.017496,0.000423,0.009336,0.090851,190712,1.47,43,227,22,68,715,543,1589,2432,3156,157,364,368,99471,459,360,527,697,798,3115,283,1161,57,0,58,57,72,276,180,487,437,1873,2003,1555,341,1103,645,846,46726,11111,0.415,,,,,,,,,,,,,,
